number,meaning,bytes_before,bytes_after,target_met,hard_limit_met,frames,unique_frames,cycle_ms,max_changed_bbox_ratio,fixed_region_byte_identity,optimization_pass,visual_quality_result
1,こんにちは,167186,167186,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
2,おはよう,184456,184456,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
3,おやすみ,174723,174723,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
4,ありがとう,174483,174483,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
5,ごめんね,184837,184837,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
6,よろしく,182518,182518,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
7,はーい・了解,182651,182651,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
8,いいね,175874,175874,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
9,うんうん,179270,179270,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
10,おねがい,173548,173548,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
11,いってきます,201757,201757,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
12,おつかれさま,181780,181780,PASS,PASS,20,20,4000,1.0,true,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
13,やったー,196927,196927,PASS,PASS,20,20,4000,1.0,false,BOX面積平均縮小＋透明画素RGB0化＋メタデータなし＋差分矩形符号化,PASS
