number,meaning,conversation_intent,first_frame_silhouette,face_expression,hand_or_body_position,primary_motion,composition_type,body_deformation,emotion_intensity,motion_family,spatial_path,tempo_class,beat_pattern,loop_return_type,dominant_visual_element,similar_candidate_numbers,thumb_distance_32px,uniqueness_result
1,こんにちは,会話のはじまり／挨拶を返す,開いた手のひらを顔の横に上げ、目は笑いの弧、口は大きめの笑み,-,右腕・右手・頭,開いた手のひらと振り軌跡,上半身中心,なし,3,片腕,横円弧,medium,大小2拍,通常復帰,開いた手のひらと振り軌跡,23,5.711,PASS
2,おはよう,朝の挨拶／起きた報告,眠そうな半目、片手で目をこすり、もう片手は半分上がっている,-,両腕・上半身・頭・口,伸びきった両腕とあくびの息,全身と大きなポーズ,上半身の伸び,2,両手,斜め上,slow,呼吸,戻らず保持,伸びきった両腕とあくびの息,25,7.411,PASS
3,おやすみ,就寝の挨拶／会話を終える,胸の前の枕に頭をあずけ、目を閉じてzzzが小さく出ている,-,頭・上半身・枕・zzz,つぶれる枕と3連のzzz,上半身中心,枕のつぶれ,2,頭,縦,slow,単発,反動,つぶれる枕と3連のzzz,17,7.561,PASS
4,ありがとう,お礼／感謝を伝える,両手を前で合わせ、上体を傾けて頭を下げた会釈の姿勢,-,上半身・頭・両腕,深い会釈と2つのきらめき,全身と大きなポーズ,上半身の沈み,3,全身,縦,medium,単発,通常復帰,深い会釈と2つのきらめき,29,6.705,PASS
5,ごめんね,謝る／お詫びする,右手を顔の前に立て、眉を下げ口は波形、頬に3本線と汗が1粒,-,頭・上半身・右手・汗,顔の前に立てた片手と落ちる汗,上半身中心,上半身の沈み,3,全身,縦,medium,大小2拍,反動,顔の前に立てた片手と落ちる汗,32,9.84,PASS
6,よろしく,挨拶／依頼のはじめ／握手,右手を前へ差し出して開き、握手を求める笑顔,-,右腕・右手（奥行き）・上半身,手前へ突き出した大きな手のひら,上半身中心,手の遠近拡大,3,片腕,奥行き,medium,単発,戻らず保持,手前へ突き出した大きな手のひら,23,7.409,PASS
7,はーい・了解,返事／了解する,両手をぱっと挙げて口を開き、元気に返事をしている状態,-,両腕・両手・全身の上下・肩,左右対称に跳ね上がる両手,全身と大きなポーズ,つま先立ち,4,両手,縦,fast,単発,反動,左右対称に跳ね上がる両手,15,9.367,PASS
8,いいね,賛成／ほめる,胸の高さで親指を立て、自信のある笑顔,-,右腕・親指・上半身,突き上がる大きな親指,上半身中心,手の遠近拡大,4,片腕,縦,fast,単発,反動,突き上がる大きな親指,27,6.926,PASS
9,うんうん,同意／うんうんと聞く,あごを引いて目を細めて笑い、頭上にうなずきの軌跡が2本,-,頭・肩,うなずきの軌跡と深い一拍,顔アップ寄り,なし,2,頭,縦,medium,4交互,通常復帰,うなずきの軌跡と深い一拍,32,10.626,PASS
10,おねがい,お願いする／頼む,胸の前で両手を合わせ、上目づかいの大きな目と下がり眉,-,両腕・頭・つま先・目,あごまで上がる合わせ手ときらめく目,上半身中心,つま先立ち,3,両手,縦,medium,単発,戻らず保持,あごまで上がる合わせ手ときらめく目,15,7.498,PASS
11,いってきます,外出の報告／出発,カバンを提げて片脚を前に踏み出した走り出しの姿勢、動き線つき,-,両脚・両腕・胴体・カバン・全身の横移動,大きな歩幅とカバンの揺れ,全身と大きなポーズ,スカートのなびき,4,足,横,fast,連続,退出再登場なしの往復,大きな歩幅とカバンの揺れ,25,10.471,PASS
12,おつかれさま,ねぎらい／乾杯・ひと息,マグを胸の高さに持ち、湯気が上がるやわらかい笑顔,-,右腕・マグ・湯気・頭,掲げたマグと立ちのぼる湯気,上半身中心,なし,2,小物,縦,slow,大小2拍,戻らず保持,掲げたマグと立ちのぼる湯気,21,6.438,PASS
13,やったー,喜ぶ／成功を伝える,空中で両手両脚を開き、口を大きく開けて喜んでいる,-,全身の上下・両腕・両脚・スカート,空中で開いた手脚と着地の砂ぼこり,全身と大きなポーズ,スカートの開き,5,全身,縦,fast,単発,反動,空中で開いた手脚と着地の砂ぼこり,7,11.76,PASS
