number,pose_id,role,changed_joints,changed_contact,silhouette_change,generated_from_single_warp,identity_result,approval
001,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
001,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
001,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
001,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
001,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
001,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
002,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
002,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
002,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
002,P4,意味が最も強い最大動作,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
002,P5,反動・着地・受け止め（作用の結果）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
002,P6,元へ戻るための別ポーズ（逆再生コピーにしない）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
003,P1,意味が完成している第1フレーム,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
003,P2,予備動作（本動作と逆方向、または力を溜める変化）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
003,P3,動作途中・通過姿勢（合成ではなく描かれた中間姿勢）,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,pending
