number,meaning,conversation_intent,first_frame_silhouette,face_expression,hand_or_body_position,primary_motion,dominant_effect,prop_or_symbol,dominant_visual_element,composition_type,body_deformation,emotion_intensity,distinguishing_feature,similar_candidate_numbers,uniqueness_result
001,ありがとう,感謝を丁寧に伝える,直立・胸元で手を重ねた縦長,穏やかに細めた三日月／わずかに下げた水平／小さく閉じた弧,両手を胸元へ寄せて重ねる／直立からわずかに前傾,ceremonial_full_body/arc_pitch_forward,ステッチの均等な締まり,なし,腰から折れる上半身と、遅れて張り直る輪郭のステッチ,full_body,腰から上の前傾,中,儀礼的で深すぎない感謝のお辞儀,003,PASS
002,お願い,頼みごとをする,顔前で合掌した縦長,上目づかいの大きな丸／八の字に上げる／すぼめた小さな楕円,顔の前で合掌／やや前かがみ,depth_hand_push/z_axis_forward,手元ステッチの詰まり,なし,顔の前で合わせた両手,face_centered,肘の伸展,中,依頼専用の上目づかい,001,PASS
003,ごめん,深く謝る,正座して床へ伏せた横長の低い塊,固く閉じる／強く下げた八の字／への字に結ぶ,床の前方へ両手をつく／正座から深く頭を下げた完成状態,low_full_body_sink/vertical_descend_deep,ステッチのほどけと結び直し,なし,床に着いた両手と最も低い頭,seated_lying_back,上半身の深い沈み込み,強,40個中最も低い姿勢,"001,025",PASS
004,了解,指示を受けた返事,片手を額へ当てた直立,きりっと開いた横長／鋭く上げる／真一文字,右手を額の横へ当てる／胸を張った直立,single_arm_snap/diagonal_arc_up,額ステッチの張り,なし,額の横で止まった右手,face_centered,なし,中,40個中唯一の敬礼,005,PASS
005,はい,はっきり返事をする,片手を真上へ伸ばした最も縦長の直立,大きく開いた丸／上げた水平／開いた小さな楕円,右手を真上へまっすぐ上げる／背筋を伸ばした直立,head_vertical/vertical_oscillate,片側ステッチの引き締まり,なし,真上へ伸ばした右手と頭の上下,full_body,首の屈伸,中,縦長の挙手,004,PASS
006,いいね,肯定・称賛,親指を手前へ突き出した上半身,細めた笑い目／上げた水平／開いた笑いの弧,右手の親指を立てて手前へ出す／やや胸を張る,forward_pop/z_axis_scale_pop,親指まわりのステッチ強調,なし,手前へ突き出した大きな親指,upper_body,奥行き方向の拡大,中,手前へ拡大する親指,022,PASS
007,ダメ,断る・否定する,胸前に大きなXを組んだ直立,固く閉じる／強く下げる／への字に結ぶ,両腕を胸前で大きなXに組む／正面向きの直立,lateral_refusal/horizontal_sweep_head,朱色へ変わるステッチ,なし,胸の前で組んだ大きなX,face_centered,なし,強,中央の大きなX,008,PASS
008,待って,相手を止める,両手のひらを正面へ開いた上半身,真剣に見開いた丸／下げて寄せる／小さく開いた楕円,両手のひらを正面へ開いて出す／やや前傾,dual_hand_halt/z_axis_forward_dual,手のひらステッチの締まり,なし,正面へ開いた両手のひら,face_centered,胴体の反動,強,開いた両手の制止,"007,002",PASS
009,おつかれ,ねぎらう,座ってマグを抱えた低い塊,穏やかに細める／力を抜いた水平／小さく閉じる,両手でマグを胸元に抱える／脱力した座り姿,prop_acting_drink/arc_to_mouth,湯気3筋,マグ,両手で抱えた湯気の立つマグ,seated_lying_back,肩の下降,弱,マグと脱力した座り姿,019,PASS
010,おはよう,朝のあいさつ,全身を縦へ伸ばした40個中最も縦長,半分閉じた眠気の残る線／上げた八の字／開いたあくびの楕円,両手を頭上へ伸ばす／全身を縦へ伸ばす,vertical_stretch/vertical_extend,ステッチの伸張,なし,真上へ伸び切った全身,full_body,全身の伸縮,中,最も縦長のシルエット,005,PASS
011,おやすみ,就寝のあいさつ,横向きに寝て枕を抱えた最も横長,閉じた弧／力を抜いた水平／小さく閉じる,枕を両腕で抱える／横向きに寝る,embrace_pull_in/inward_converge,ステッチの弛緩,枕,抱き込んだ枕と沈んだ頬,seated_lying_back,頬と頭の沈み込み,弱,枕・横向き・抱き込みと沈み込み,"019,025",PASS
012,またね,別れのあいさつ,片手を高く上げた斜め向きの直立,片目をウインク／上げた水平／開いた笑いの弧,右手を高く上げる／やや斜め向きの直立,wave_and_exit/horizontal_travel_wave,手のステッチの残像,なし,高く上げて左右へ振る右手,full_body,なし,中,40個中唯一の手振りと半歩移動,005,PASS
013,にっこり,やわらかい笑顔で応じる,両手を頬横へ開いた直立,三日月に細めた笑い目／穏やかに上げる／小さく閉じた笑いの弧,両手を頬の横へ開く／正面向きの直立,dual_arm_bloom/outward_arc_spread,ステッチの緩やかな開き,なし,左右へ開いた両手と三日月の目,face_centered,頬の膨らみ,弱,静かな感情でも手の軌道を大きく見せる,023,PASS
014,爆笑,大笑いする,腹を抱えた横広の前屈,強く閉じた への字／強く上げる／大きく開いた笑いの口,両手で腹を抱える／横に広がった前屈,fore_aft_rotation/pitch_oscillate,ステッチの波打ち,なし,腹を抱えて折れ曲がった上半身,upper_body,上半身の前後回転,強,腹を抱える横広ポーズ,015,PASS
015,うれしい,喜びを表す,宙に浮いて足裏が見える全身,開いた笑い目／上げた水平／開いた笑いの弧,胸の前に小さな両拳／立位からの跳躍準備,repeated_hop/vertical_double_leap,ステッチの跳ね,なし,宙に浮いた足と胸前の両拳,full_body,着地の潰れ,中,高さの違う2回の跳躍,016,PASS
016,やったー,達成を喜ぶ,両手を真上へ伸ばした空中姿勢,輝く星形に近い大きな目／強く上げる／大きく開いた歓喜の口,両手を真上へ上げる／バンザイの直立,grand_jump/vertical_ballistic,ステッチの最大張力,なし,真上へ伸ばした両手と空中姿勢,full_body,着地の縦潰れ,強,両手バンザイと空中姿勢,015,PASS
017,大好き,強い好意を伝える,体前面に大きなハートを抱えた上半身,幸せに閉じた弧／穏やかに上げる／小さく閉じた笑い,大きなハートを両腕で抱える／やや後傾の直立,catch_and_embrace/descend_then_inward,なし,大きなハート,体の前で抱えた大きなハート,upper_body,受け止めの沈み込み,強,体前面の大きなハートと抱擁動作,"034,021",PASS
018,照れる,照れを表す,両手で顔を覆った直立,伏し目の弧／八の字に上げる／小さくすぼめる,両手を頬へ当てる／肩をすぼめた直立,conceal_reveal/face_occlusion_toggle,頬ステッチのほつれ,なし,頬に当てた両手と濃く染まった頬,face_centered,肩のすぼめ,中,顔を隠す・覗くの別ポーズ,030,PASS
019,ほっとする,安心したことを伝える,座って両手を床へ下ろした低い塊,閉じた安堵の弧／力を抜いて下げる／小さく開いて息を吐く,胸の前で両手を軽く重ねる／肩を落とした座り姿,release_and_slump/outward_then_descend,白い息,なし,床へ下ろした両手と吐き出す白い息,seated_lying_back,肩と頭の沈み込み,弱,手の開放と脱力した座り姿,"009,025",PASS
020,わくわく,期待や高揚を伝える,前傾して両拳を構えた上半身,大きく見開いた丸／高く上げる／開いた期待の楕円,胸の前に両拳を構える／前傾姿勢,lean_and_piston/alternating_forward_thrust,ステッチの走り,なし,交互に前へ突き出す両拳,upper_body,なし,強,前傾と手足の4拍交互動作,032,PASS
021,感動,心を動かされたことを伝える,胸に手を重ね上を向いた直立,潤んだ大きな目にハイライト2点／八の字に上げる／小さく閉じた笑み,両手を胸に重ねる／やや上を向いた直立,tear_catch_return/arc_up_then_return,一粒の涙,なし,胸に重ねた両手と一粒の涙,face_centered,なし,中,笑顔・一粒の涙・手の往復軌道,"026,017",PASS
022,すごい,強い称賛を伝える,頭上に大きな星を掲げた上半身,星形の瞳／高く上げる／大きく開いた感嘆の口,右手に大きな星を持ち掲げる／上半身をひねった直立,retrieve_and_raise/behind_to_overhead,なし,大きな星,頭上へ掲げた大きな星,upper_body,上半身のひねり,強,背後から現れる大きな星,"038,006",PASS
023,拍手,称賛・祝福,胸前で両手を開いた左右対称の直立,細めた笑い目／上げた水平／開いた笑いの弧,胸の前に開いた両手を置く／正面向きの直立,symmetric_clap/lateral_open_close,衝撃線,なし,胸の前で開閉する左右対称の両手,face_centered,なし,中,左右対称の手の開閉,"013,008",PASS
024,応援,相手を励ます,片拳を高く上げ背後に炎が立つ上半身,強く見開いた丸／鋭く下げて力む／大きく開いた掛け声の口,右拳を高く上げる／胸を張った直立,upward_thrust/diagonal_extend_up,三層の炎,なし,斜め上へ突き上げた拳と背後の炎,upper_body,なし,強,片拳と炎,"039,016",PASS
025,悲しい,落胆を伝える,背中を丸め手が垂れた縦に縮んだ直立,下を向いた伏し目／強く下げた八の字／小さなへの字,胸の前で両手を弱く合わせる／背中を丸めた直立,hand_drop_body_sink/vertical_descend_staged,ステッチの全体弛緩,なし,力なく垂れた両手と丸めた背中,full_body,全身の段階的沈み込み,中,涙を使わない大きな沈み込み,"026,031",PASS
