number,meaning,concept_strength,silhouette_originality,material_and_depth,series_hooks,small_size_product_appeal,total,result,basis
1,こんにちは,17,13.4,18,17.0,12.6,78.0,REVIEW,32px色距離5.71(下位1/40) / 32pxシルエット距離3.38 / メガネ遮蔽率12.5% / 素材と一言コンセプトは作者判断
2,おはよう,17,14.5,18,16.9,14.1,80.5,PASS,32px色距離7.41(下位14/40) / 32pxシルエット距離4.15 / メガネ遮蔽率12.7% / 素材と一言コンセプトは作者判断
3,おやすみ,18,13.9,18,12.9,14.3,77.1,REVIEW,32px色距離7.56(下位18/40) / 32pxシルエット距離3.73 / メガネ遮蔽率29.6% / 素材と一言コンセプトは作者判断
4,ありがとう,17,13.3,18,16.9,13.5,78.7,REVIEW,32px色距離6.70(下位9/40) / 32pxシルエット距離3.28 / メガネ遮蔽率12.9% / 素材と一言コンセプトは作者判断
5,ごめんね,18,15.6,18,15.7,16.3,83.6,PASS,32px色距離9.84(下位27/40) / 32pxシルエット距離4.90 / メガネ遮蔽率17.9% / 素材と一言コンセプトは作者判断
6,よろしく,17,14.9,18,18.2,14.1,82.2,PASS,32px色距離7.41(下位13/40) / 32pxシルエット距離4.40 / メガネ遮蔽率7.4% / 素材と一言コンセプトは作者判断
7,はーい・了解,17,15.4,18,16.2,15.9,82.5,PASS,32px色距離9.37(下位24/40) / 32pxシルエット距離4.79 / メガネ遮蔽率15.7% / 素材と一言コンセプトは作者判断
8,いいね,17,14.2,18,18.8,13.7,81.7,PASS,32px色距離6.93(下位11/40) / 32pxシルエット距離3.91 / メガネ遮蔽率4.8% / 素材と一言コンセプトは作者判断
9,うんうん,17,16.9,18,17.7,17.0,86.6,PASS,32px色距離10.63(下位30/40) / 32pxシルエット距離5.83 / メガネ遮蔽率9.8% / 素材と一言コンセプトは作者判断
10,おねがい,17,14.0,18,13.9,14.2,77.1,REVIEW,32px色距離7.50(下位17/40) / 32pxシルエット距離3.82 / メガネ遮蔽率25.5% / 素材と一言コンセプトは作者判断
11,いってきます,18,16.4,18,19.0,16.9,88.3,PASS,32px色距離10.47(下位29/40) / 32pxシルエット距離5.46 / メガネ遮蔽率4.2% / 素材と一言コンセプトは作者判断
12,おつかれさま,18,13.3,18,17.1,13.3,79.7,REVIEW,32px色距離6.44(下位7/40) / 32pxシルエット距離3.33 / メガネ遮蔽率12.2% / 素材と一言コンセプトは作者判断
13,やったー,17,17.7,18,17.2,18.0,87.9,PASS,32px色距離11.76(下位32/40) / 32pxシルエット距離6.42 / メガネ遮蔽率11.5% / 素材と一言コンセプトは作者判断
14,わーい・拍手,17,12.8,18,14.6,12.9,75.3,REVIEW,32px色距離6.06(下位3/40) / 32pxシルエット距離2.96 / メガネ遮蔽率22.5% / 素材と一言コンセプトは作者判断
15,大好き,18,12.8,18,15.9,12.9,77.6,REVIEW,32px色距離6.06(下位3/40) / 32pxシルエット距離2.96 / メガネ遮蔽率16.9% / 素材と一言コンセプトは作者判断
16,すごい！,18,13.5,18,17.6,13.1,80.2,PASS,32px色距離6.28(下位5/40) / 32pxシルエット距離3.45 / メガネ遮蔽率10.0% / 素材と一言コンセプトは作者判断
17,笑う,17,13.9,18,18.3,14.3,81.5,PASS,32px色距離7.56(下位18/40) / 32pxシルエット距離3.73 / メガネ遮蔽率7.1% / 素材と一言コンセプトは作者判断
18,照れる,17,14.7,18,14.9,15.0,79.6,REVIEW,32px色距離8.35(下位20/40) / 32pxシルエット距離4.31 / メガネ遮蔽率21.4% / 素材と一言コンセプトは作者判断
19,応援・ファイト,18,13.5,18,16.6,13.4,79.5,REVIEW,32px色距離6.57(下位8/40) / 32pxシルエット距離3.45 / メガネ遮蔽率14.1% / 素材と一言コンセプトは作者判断
20,びっくり,18,17.9,18,16.6,18.2,88.7,PASS,32px色距離12.03(下位33/40) / 32pxシルエット距離6.51 / メガネ遮蔽率14.1% / 素材と一言コンセプトは作者判断
21,ひらめき,18,13.3,18,16.8,13.1,79.2,REVIEW,32px色距離6.28(下位5/40) / 32pxシルエット距離3.33 / メガネ遮蔽率13.3% / 素材と一言コンセプトは作者判断
22,うれしい,17,16.1,18,16.7,15.6,83.4,PASS,32px色距離9.06(下位23/40) / 32pxシルエット距離5.28 / メガネ遮蔽率13.6% / 素材と一言コンセプトは作者判断
23,キラキラ・決まった,19,13.4,18,15.0,12.6,78.0,REVIEW,32px色距離5.71(下位1/40) / 32pxシルエット距離3.38 / メガネ遮蔽率20.7% / 素材と一言コンセプトは作者判断
24,ノリノリ,18,15.7,18,15.1,15.5,82.3,PASS,32px色距離8.97(下位21/40) / 32pxシルエット距離5.02 / メガネ遮蔽率20.6% / 素材と一言コンセプトは作者判断
25,泣く,18,14.2,18,14.8,14.1,79.1,REVIEW,32px色距離7.41(下位14/40) / 32pxシルエット距離3.91 / メガネ遮蔽率21.5% / 素材と一言コンセプトは作者判断
26,落ち込む,18,16.3,18,17.4,17.4,87.1,PASS,32px色距離11.08(下位31/40) / 32pxシルエット距離5.44 / メガネ遮蔽率10.8% / 素材と一言コンセプトは作者判断
27,怒る,18,13.7,18,17.0,13.7,80.4,PASS,32px色距離6.93(下位11/40) / 32pxシルエット距離3.62 / メガネ遮蔽率12.6% / 素材と一言コンセプトは作者判断
