number,meaning,kind,ear_or_hook_count,face_layout,lens_span_px,lens_span_delta_pct,palette_conformance,result,note
1,こんにちは,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
2,おはよう,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
3,おやすみ,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
4,ありがとう,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
5,ごめんね,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
6,よろしく,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
7,はーい・了解,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
8,いいね,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
9,うんうん,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
10,おねがい,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
11,いってきます,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
12,おつかれさま,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
13,やったー,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
14,わーい・拍手,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
15,大好き,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
16,すごい！,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
17,笑う,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
18,照れる,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
19,応援・ファイト,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
20,びっくり,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
21,ひらめき,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
22,うれしい,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
23,キラキラ・決まった,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
24,ノリノリ,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
25,泣く,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
26,落ち込む,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
27,怒る,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
28,困った,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
29,疲れた,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
30,体調不良,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
31,わからない,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
32,眠い,character,2,OK,35.6,0.0,1.0,PASS,マスターと同一ジオメトリ（頭部レイヤー画素差 0）
33,OK!,symbol,-,-,-,-,1.0,PASS,symbol_style_lockの線色・塗り・角丸・白フチのみで構成
34,ハート,symbol,-,-,-,-,1.0,PASS,symbol_style_lockの線色・塗り・角丸・白フチのみで構成
35,汗,symbol,-,-,-,-,1.0,PASS,symbol_style_lockの線色・塗り・角丸・白フチのみで構成
36,！？,symbol,-,-,-,-,0.9999,PASS,symbol_style_lockの線色・塗り・角丸・白フチのみで構成
37,？,symbol,-,-,-,-,0.9999,PASS,symbol_style_lockの線色・塗り・角丸・白フチのみで構成
38,キラキラ,symbol,-,-,-,-,1.0,PASS,symbol_style_lockの線色・塗り・角丸・白フチのみで構成
39,炎・熱い,symbol,-,-,-,-,1.0,PASS,symbol_style_lockの線色・塗り・角丸・白フチのみで構成
40,zzz,symbol,-,-,-,-,1.0,PASS,symbol_style_lockの線色・塗り・角丸・白フチのみで構成
