number,pose_id,role,changed_joints,changed_contact,silhouette_change,generated_from_single_warp,identity_result,approval
1,P1-first,意味完成,True,False,True,false,PASS,approved
1,P2-anticipation,予備動作,True,False,True,false,PASS,approved
1,P3-transit,通過姿勢,True,False,True,false,PASS,approved
1,P4-peak,最大動作,True,False,True,false,PASS,approved
1,P5-recoil,反動・着地,True,False,True,false,PASS,approved
1,P6-return,戻り,True,False,True,false,PASS,approved
2,P1-first,意味完成,True,True,True,false,PASS,approved
2,P2-anticipation,予備動作,True,True,True,false,PASS,approved
2,P3-transit,通過姿勢,True,True,True,false,PASS,approved
2,P4-peak,最大動作,True,False,True,false,PASS,approved
2,P5-recoil,反動・着地,True,False,True,false,PASS,approved
2,P6-return,戻り,True,True,True,false,PASS,approved
3,P1-first,意味完成,True,False,True,false,PASS,approved
3,P2-anticipation,予備動作,True,False,True,false,PASS,approved
3,P3-transit,通過姿勢,True,False,True,false,PASS,approved
3,P4-peak,最大動作,True,False,True,false,PASS,approved
3,P5-recoil,反動・着地,True,False,True,false,PASS,approved
3,P6-return,戻り,True,False,True,false,PASS,approved
4,P1-first,意味完成,True,True,True,false,PASS,approved
4,P2-anticipation,予備動作,True,True,True,false,PASS,approved
4,P3-transit,通過姿勢,True,False,True,false,PASS,approved
4,P4-peak,最大動作,True,True,True,false,PASS,approved
4,P5-recoil,反動・着地,True,True,True,false,PASS,approved
4,P6-return,戻り,True,True,True,false,PASS,approved
5,P1-first,意味完成,True,False,True,false,PASS,approved
5,P2-anticipation,予備動作,True,False,True,false,PASS,approved
5,P3-transit,通過姿勢,True,False,True,false,PASS,approved
5,P4-peak,最大動作,True,True,True,false,PASS,approved
5,P5-recoil,反動・着地,True,True,True,false,PASS,approved
5,P6-return,戻り,True,False,True,false,PASS,approved
6,P1-first,意味完成,True,True,False,false,PASS,approved
6,P2-anticipation,予備動作,True,True,True,false,PASS,approved
6,P3-transit,通過姿勢,True,True,True,false,PASS,approved
6,P4-peak,最大動作,True,True,True,false,PASS,approved
6,P5-recoil,反動・着地,True,True,True,false,PASS,approved
6,P6-return,戻り,True,True,True,false,PASS,approved
7,P1-first,意味完成,True,True,True,false,PASS,approved
7,P2-anticipation,予備動作,True,True,True,false,PASS,approved
7,P3-transit,通過姿勢,True,True,True,false,PASS,approved
7,P4-peak,最大動作,True,True,True,false,PASS,approved
7,P5-recoil,反動・着地,True,True,True,false,PASS,approved
7,P6-return,戻り,True,False,True,false,PASS,approved
8,P1-first,意味完成,True,False,True,false,PASS,approved
8,P2-anticipation,予備動作,True,False,True,false,PASS,approved
8,P3-transit,通過姿勢,True,False,True,false,PASS,approved
8,P4-peak,最大動作,True,True,True,false,PASS,approved
8,P5-recoil,反動・着地,True,True,True,false,PASS,approved
8,P6-return,戻り,True,True,True,false,PASS,approved
9,P1-first,意味完成,True,False,True,false,PASS,approved
9,P2-anticipation,予備動作,True,False,True,false,PASS,approved
9,P3-transit,通過姿勢,True,False,True,false,PASS,approved
9,P4-peak,最大動作,True,False,True,false,PASS,approved
9,P5-recoil,反動・着地,True,False,True,false,PASS,approved
9,P6-return,戻り,True,False,True,false,PASS,approved
10,P1-first,意味完成,True,False,True,false,PASS,approved
10,P2-anticipation,予備動作,True,False,True,false,PASS,approved
10,P3-transit,通過姿勢,True,False,True,false,PASS,approved
10,P4-peak,最大動作,True,True,True,false,PASS,approved
10,P5-recoil,反動・着地,True,True,True,false,PASS,approved
10,P6-return,戻り,True,False,True,false,PASS,approved
11,P1-first,意味完成,True,True,True,false,PASS,approved
11,P2-anticipation,予備動作,True,True,True,false,PASS,approved
11,P3-transit,通過姿勢,True,True,True,false,PASS,approved
11,P4-peak,最大動作,True,True,True,false,PASS,approved
11,P5-recoil,反動・着地,True,True,True,false,PASS,approved
11,P6-return,戻り,True,True,True,false,PASS,approved
12,P1-first,意味完成,True,False,True,false,PASS,approved
12,P2-anticipation,予備動作,True,False,True,false,PASS,approved
12,P3-transit,通過姿勢,True,False,True,false,PASS,approved
12,P4-peak,最大動作,True,False,True,false,PASS,approved
12,P5-recoil,反動・着地,True,False,True,false,PASS,approved
12,P6-return,戻り,True,False,True,false,PASS,approved
13,P1-first,意味完成,True,True,True,false,PASS,approved
13,P2-anticipation,予備動作,True,True,True,false,PASS,approved
13,P3-transit,通過姿勢,True,True,True,false,PASS,approved
13,P4-peak,最大動作,True,True,True,false,PASS,approved
13,P5-recoil,反動・着地,True,True,True,false,PASS,approved
13,P6-return,戻り,True,True,True,false,PASS,approved
14,P1-first,意味完成,True,False,True,false,PASS,approved
14,P2-anticipation,予備動作,True,False,True,false,PASS,approved
14,P3-transit,通過姿勢,True,False,True,false,PASS,approved
14,P4-peak,最大動作,True,False,True,false,PASS,approved
14,P5-recoil,反動・着地,True,False,True,false,PASS,approved
14,P6-return,戻り,True,False,True,false,PASS,approved
15,P1-first,意味完成,True,False,True,false,PASS,approved
15,P2-anticipation,予備動作,True,False,True,false,PASS,approved
15,P3-transit,通過姿勢,True,False,True,false,PASS,approved
15,P4-peak,最大動作,True,False,True,false,PASS,approved
15,P5-recoil,反動・着地,True,False,True,false,PASS,approved
15,P6-return,戻り,True,False,True,false,PASS,approved
16,P1-first,意味完成,True,False,True,false,PASS,approved
16,P2-anticipation,予備動作,True,False,True,false,PASS,approved
16,P3-transit,通過姿勢,True,False,True,false,PASS,approved
16,P4-peak,最大動作,True,False,True,false,PASS,approved
16,P5-recoil,反動・着地,True,False,True,false,PASS,approved
16,P6-return,戻り,True,False,True,false,PASS,approved
17,P1-first,意味完成,True,False,True,false,PASS,approved
