"No","分類","ネタ","使用日","使用した投稿ID","imp","再利用可"
"1","共感","始めようと思ったきっかけ","","","","未使用"
"2","共感","家族に言えなかった話","","","","未使用"
"3","共感","最初に買って失敗したもの","","","","未使用"
"4","共感","挫折しかけた瞬間","","","","未使用"
"5","共感","パート時代との比較","","","","未使用"
"6","共感","同世代の友人の反応","","","","未使用"
"7","共感","「もう遅い」と思った瞬間","","","","未使用"
"8","共感","子どもに見られたくない自分","","","","未使用"
"9","共感","お金の不安のリアル","","","","未使用"
"10","共感","夜中に検索していた言葉","","","","未使用"
"11","ノウハウ","ChatGPTの基本の型","","","","未使用"
"12","ノウハウ","献立に使う","","","","未使用"
"13","ノウハウ","家計管理に使う","","","","未使用"
"14","ノウハウ","応募文を書く","","","","未使用"
"15","ノウハウ","文章の推敲に使う","","","","未使用"
"16","ノウハウ","子どもの勉強に使う","","","","未使用"
"17","ノウハウ","使ってはいけない場面","","","","未使用"
"18","ノウハウ","無料版と有料版の違い","","","","未使用"
"19","ノウハウ","スマホだけでできること","","","","未使用"
"20","ノウハウ","AIに任せない方がいいこと","","","","未使用"
"21","プロセス","初報酬の日","","","","未使用"
"22","プロセス","初めてのコメント","","","","未使用"
"23","プロセス","月次の数字公開","","","","未使用"
"24","プロセス","うまくいかなかった月","","","","未使用"
"25","プロセス","作業環境の紹介","","","","未使用"
"26","プロセス","1日のタイムスケジュール","","","","未使用"
"27","逆張り","やらなくていいこと3つ","","","","未使用"
"28","逆張り","「稼げる系」の見分け方","","","","未使用"
"29","Q&A","パソコンは必要か","","","","未使用"
"30","Q&A","スクールは必要か（両論併記）","","","","未使用"
