"投稿ID","日","時間帯","投稿時刻","分類","書き出し型","本文","状態","インプレッション","いいね","リプライ","メモ"
"D01-朝","1","朝","07:00","共感","告白","【年齢】歳、パート歴【　】年、パソコンはExcelがギリ。
そんな私が在宅ワークを始めました。

きっかけは【具体的な出来事】です。

正直、若い人向けの情報しか出てこなくて
何回も心が折れました。

同じ立場の人に届けばと思って、
うまくいったことも、いかなかったことも
全部ここに書いていきます。

よろしくお願いします。","未着手","","","","プロフィールに固定する"
"D01-昼","1","昼","12:00","ノウハウ","","ChatGPTに「〜してください」だけ書くのを
やめたら、返ってくる内容が別物になりました。

足すのはこの3つだけ。

①相手は誰か（例：40代の初心者に向けて）
②どんな形式か（例：箇条書きで5つ）
③何を避けたいか（例：専門用語なしで）

「在宅ワークについて教えて」を
「40代・PC初心者の主婦に向けて、在宅ワークの
種類を箇条書きで5つ、専門用語なしで教えて」

これだけで、使える答えが返ってきます。","未着手","","","",""
"D01-夜","1","夜","21:00","プロセス","","【発信1日目】

今日の作業：【　】時間
今日の収入：0円
累計：0円

初日から収入があるわけないのに、
ちょっと期待して管理画面を開いた自分がいます。

何もなかったです。当たり前だ。

明日も書きます。","未着手","","","",""
"D02-朝","2","朝","07:00","共感","時間","子どもが寝た後の2時間だけが自分の時間で、
その2時間で何かを始めるって、
想像以上に重いです。

洗い物が残ってる。
明日のお弁当も考えてない。
なのにパソコン開いてる自分に、
「何やってんだろ」って何回も思いました。

同じ時間帯に起きてる人、いますか。","未着手","","","",""
"D02-昼","2","昼","12:00","ノウハウ","","AIに聞いても微妙な答えしか来ない人、
たぶん「情報を出してない」だけです。

「夕飯何がいい？」と聞かれて
答えられないのと同じで、
条件がないと相手も困ります。

・冷蔵庫に何があるか
・何分で作りたいか
・誰が食べるか

3つ足すだけで、急に使えるようになります。
仕事の依頼と一緒ですね。","未着手","","","",""
"D02-夜","2","夜","21:00","日常","","中学生の娘に
「ママ、AIとか言ってるけど
LINEのスタンプ探すの遅くない？」
と言われました。

事実です。

でも、遅くても半年やれば
それなりに形になるって、
今なら娘に言えます。

スタンプは今も遅い。","未着手","","","",""
"D03-朝","3","朝","07:00","共感","告白","在宅ワークを始めたこと、
最初の【　】ヶ月、家族に言えませんでした。

言ったら「またすぐやめるでしょ」
って言われる気がして。

実際、過去に何回かありました。
資格の勉強とか、ハンドメイドとか。

続かなかったことがある人ほど、
次を始めるのが怖いんだと思います。

私は今回、誰にも言わずに
1ヶ月続いてから話しました。","未着手","","","",""
"D03-昼","3","昼","12:00","ノウハウ","","在宅ワークの求人を見るとき、
私が最初に確認するのはこの2つです。

①登録や研修に「お金がかかる」と書いてないか
②業務内容が具体的に書かれているか

「誰でも簡単に高収入」しか書いてない求人は、
だいたい業務内容が書けない仕事です。

まともな仕事ほど、
やることが細かく書いてあります。","未着手","","","",""
"D03-夜","3","夜","21:00","プロセス","","【発信3日目】

今日の作業：【　】時間
今日の収入：0円

今日は投稿を3本書くのに
2時間かかりました。
1本40分。遅すぎる。

慣れたら20分になるらしいので、
それを信じてやります。","未着手","","","",""
"D04-朝","4","朝","07:00","共感","逆張り","40代主婦がやらなくていい副業、正直に3つ。

①ポイ活（時給50円。子どもの寝かしつけの方が価値ある）
②単価0.1円のライティング（消耗するだけ）
③「登録だけで月10万」系（全部これ）

私は①と②を【　】ヶ月やって、
合計で【　】円でした。

その時間を別のことに使っていたら、
と今でも思います。","未着手","","","",""
