number,meaning,moving_parts,fixed_parts,first_frame_description,peak_frame_description,observed_part_displacement,whole_sprite_only_motion,fixed_anchor_displacement_px,fixed_region_difference_ratio,outline_jitter_result,horizontal_anchor,horizontal_anchor_range_px,max_adjacent_horizontal_anchor_step_px,allow_horizontal_travel,peak_hold_ms,emotion_specific_motion_result
1,こんにちは,右腕・右手・頭,両足・腰・胴体・左腕,開いた手のひらを顔の横に上げ、目は笑いの弧、口は大きめの笑み,手が内側上へ振り切られ、頭が反対へ10度傾き、手の横に振り軌跡の弧が2本出る,hand_R=36.5px; head_crown=17.1px; lens_r=7.4px; hand_L=1.4px; chin=1.2px,false,0.0,0.0,PASS,両足中央,0.0,0.0,false,786,PASS
2,おはよう,両腕・上半身・頭・口,両足・接地,眠そうな半目、片手で目をこすり、もう片手は半分上がっている,両腕が斜め上へ伸び切り、上体が反り、大あくびの口とあくびの息が2つ出る,hand_R=53.8px; hand_L=49.0px; head_crown=31.8px; lens_r=22.8px; chin=17.2px,false,0.003,-,PASS,両足中央,0.0,0.0,false,726,PASS
3,おやすみ,頭・上半身・枕・zzz,両足・腰・手の位置,胸の前の枕に頭をあずけ、目を閉じてzzzが小さく出ている,頭が枕へ落ち切って枕がつぶれ、zzzが3つとも大きく斜め上へ抜ける,head_crown=51.5px; lens_r=34.4px; chin=19.8px; hand_R=15.8px; hand_L=11.0px,false,0.0,0.0,PASS,両足中央,0.0,0.0,false,445,PASS
4,ありがとう,上半身・頭・両腕,両足・接地,両手を前で合わせ、上体を傾けて頭を下げた会釈の姿勢,上体と頭がさらに深く沈み込み、頭の左右にきらめきが2つ広がる,head_crown=74.3px; lens_r=51.9px; chin=32.2px; hand_R=17.8px; hand_L=14.3px,false,0.001,-,PASS,両足中央,0.0,0.0,false,778,PASS
5,ごめんね,頭・上半身・右手・汗,両足・腰・左腕,右手を顔の前に立て、眉を下げ口は波形、頬に3本線と汗が1粒,頭が深く下がって手が顔の高さに残り、汗が顔の横から下へ落ちる,head_crown=65.1px; lens_r=44.7px; chin=27.1px; hand_R=12.2px; hand_L=8.4px,false,0.001,-,PASS,両足中央,0.0,0.0,false,649,PASS
6,よろしく,右腕・右手（奥行き）・上半身,両足・腰・左腕・顔中心,右手を前へ差し出して開き、握手を求める笑顔,腕が伸び切り、手が手前へ大きく突き出て上体も前へ出る,hand_R=31.1px; head_crown=5.8px; hand_L=5.2px; chin=5.0px; lens_r=5.0px,false,0.0,0.0,PASS,胴体中心,0.0,0.0,false,789,PASS
7,はーい・了解,両腕・両手・全身の上下・肩,接地の左右位置・顔の中心,両手をぱっと挙げて口を開き、元気に返事をしている状態,両手が最高点まで跳ね上がり体が8px浮き、手の外側に衝撃線が3本ずつ出る,hand_L=70.5px; hand_R=70.5px; head_crown=18.6px; chin=18.6px; lens_r=18.6px,false,0.025,-,PASS,両足中央,0.0,0.0,false,789,PASS
8,いいね,右腕・親指・上半身,両足・腰・左腕,胸の高さで親指を立て、自信のある笑顔,腕が引かれた位置から突き上がり、親指が大きく手前上へ、勢い線が2本,hand_R=37.6px; hand_L=8.6px; chin=4.5px; lens_r=4.0px; head_crown=3.6px,false,0.0,0.0,PASS,両足中央,0.0,0.0,false,778,PASS
9,うんうん,頭・肩,両足・腰・胴体・両腕,あごを引いて目を細めて笑い、頭上にうなずきの軌跡が2本,頭が最も深く下がり、肩が上がり、軌跡の弧が下へ伸びる,head_crown=44.9px; lens_r=35.5px; chin=25.0px; hand_L=15.8px; hand_R=15.8px,false,0.0,0.0,PASS,顔中心,0.0,0.0,false,437,PASS
10,おねがい,両腕・頭・つま先・目,腰・胴体・接地の左右位置,胸の前で両手を合わせ、上目づかいの大きな目と下がり眉,合わせた手があごの高さまで上がり、つま先立ちになって目がきらめき、頭上に星3つ,hand_L=46.7px; hand_R=46.7px; head_crown=23.1px; lens_r=21.4px; chin=17.4px,false,0.022,-,PASS,胴体中心,0.0,0.0,false,798,PASS
11,いってきます,両脚・両腕・胴体・カバン・全身の横移動,内部リグ（顔・耳・線幅）,カバンを提げて片脚を前に踏み出した走り出しの姿勢、動き線つき,歩幅が最大になり体が右へ13px進み、スカートが開いて動き線が伸びる,hand_R=41.7px; head_crown=22.2px; lens_r=20.2px; chin=19.7px; hand_L=7.9px,false,13.28,-,PASS,なし（横移動あり）,13.0,3.94,true,644,PASS
12,おつかれさま,右腕・マグ・湯気・頭,両足・腰・左腕・胴体,マグを胸の高さに持ち、湯気が上がるやわらかい笑顔,マグを顔の横まで掲げ、頭が反対へ傾き、湯気が2つ大きく立ちのぼる,hand_R=45.9px; head_crown=23.9px; lens_r=11.2px; hand_L=2.5px; chin=2.5px,false,0.0,0.0,PASS,両足中央,0.0,0.0,false,727,PASS
13,やったー,全身の上下・両腕・両脚・スカート,内部リグ・左右位置,空中で両手両脚を開き、口を大きく開けて喜んでいる,跳躍の最高点で体が14px浮き、手脚が最大に開き、頭上左右に星が飛ぶ,hand_R=80.3px; hand_L=72.8px; head_crown=38.3px; lens_r=37.6px; chin=34.5px,false,0.029,-,PASS,両足中央,0.0,0.0,false,685,PASS
14,わーい・拍手,両腕・両手の間隔・肩・胴体の縦つぶれ,両足・腰・頭の位置,両手を打ち合わせた直後の位置で、口を開けて笑っている,左右に開いた手が中央で衝突し、衝撃線8本ときらめき2つが出る,hand_L=27.2px; hand_R=27.2px; head_crown=15.0px; lens_r=5.0px; chin=4.3px,false,0.001,-,PASS,胴体中心,0.0,0.0,false,708,PASS
15,大好き,ハート本体の大きさ・両腕・飛び出すハート3つ,両足・腰・胴体,大きなハートを両手で抱え、猫口とチーク3本の幸せ顔,ハートが最大まで鼓動して腕が押し広げられ、小さなハート3つが別軌道で飛び出す,hand_L=24.5px; hand_R=23.6px; head_crown=18.4px; lens_r=11.9px; chin=6.4px,false,0.0,0.0,PASS,胴体中心,0.0,0.0,false,546,PASS
16,すごい！,右腕・肩・上半身・星・きらめき,両足・腰・左腕（前半）,星を顔の横に掲げ、目がきらめき口が開いた感心の表情,背中へ回した腕が振り上がり、星が頭より高く最大サイズで掲げられ、きらめき3つが散る,hand_R=79.6px; head_crown=41.6px; lens_r=24.4px; hand_L=23.8px; chin=11.1px,false,0.002,-,PASS,両足中央,0.0,0.0,false,811,PASS
17,笑う,上半身の折れ・頭・両手（お腹）・笑い線,両足・接地,お腹を両手で押さえて前に折れ、目を細めて大口で笑っている,上体が最も深く折れて頭が14px沈み、左右に笑い線が4本飛ぶ,head_crown=78.8px; lens_r=52.2px; chin=30.3px; hand_R=21.5px; hand_L=13.5px,false,0.003,-,PASS,両足中央,0.0,0.0,false,296,PASS
18,照れる,頭の左右傾き・両手（頬）・湯気4つ,両足・腰・胴体の左右位置,両手を頬に当て、波形の口とチーク3本、湯気が出はじめている,頭が17度まで傾いて手が頬を押し、湯気が4つとも大きく立ちのぼる,head_crown=47.3px; lens_r=20.7px; hand_R=15.5px; hand_L=15.5px; chin=4.9px,false,0.023,-,PASS,胴体中心,0.0,0.0,false,484,PASS
19,応援・ファイト,右腕・拳・肩・炎（遅れて追従）,両足・腰・左腕（前半）,拳を顔の横まで上げ、つり眉と大口で気合いを入れている,拳が肩から突き上がって最高点に達し、遅れて炎3本が最大まで立ちのぼる,hand_R=50.6px; head_crown=22.5px; hand_L=20.1px; lens_r=13.4px; chin=7.3px,false,0.002,-,PASS,両足中央,0.0,0.0,false,798,PASS
