"案件ID","案件名","層","カテゴリ","主な取扱ASP","単価目安","成果地点","着手フェーズ","提携状況","提携日","実単価","承認率","累計発生","判定","メモ"
"1","Famm（ママ向けWEBデザイナー講座）","A","スクール","A8.net / afb","10,000〜20,000円","無料説明会参加","Phase2","未申請","","","","","様子見",""
"2","SHElikes","A","スクール","A8.net / afb","10,000〜15,000円","無料体験レッスン","Phase2","未申請","","","","","様子見",""
"3","ChapterTwo","A","スクール","A8.net 系","10,000〜30,000円","無料説明会","保留","未申請","","","","","様子見",""
"4","Aidemy Premium","A","スクール","A8.net","10,000〜30,000円","無料相談","保留","未申請","","","","","様子見",""
"5","キカガク","A","スクール","A8.net","10,000〜30,000円","無料説明会","保留","未申請","","","","","様子見",""
"6","デイトラ AI業務活用コース","A","スクール","A8.net","5,000〜10,000円","講座購入","Phase2","未申請","","","","","様子見",""
"7","TechAcademy","A","スクール","A8.net / バリューコマース","10,000円前後","無料体験","保留","未申請","","","","","様子見",""
"8","Withマーケ","A","学習サブスク","A8.net","5,000〜10,000円","入会","保留","未申請","","","","","様子見",""
"9","ヒューマンアカデミー／たのまな","A","通信講座","A8.net / afb","3,000〜10,000円","資料請求・受講","保留","未申請","","","","","様子見",""
"10","ユーキャン","A","通信講座","A8.net / バリューコマース","1,500〜3,000円","資料請求・受講","保留","未申請","","","","","様子見",""
"11","ママワークス","B","在宅求人","A8.net / afb","500〜1,500円","無料会員登録","Phase1","未申請","","","","","様子見",""
"12","クラウドワークス","B","クラウドソーシング","A8.net / もしも","500〜1,000円","無料会員登録","Phase1","未申請","","","","","様子見",""
"13","ランサーズ","B","クラウドソーシング","A8.net / バリューコマース","500〜1,500円","無料会員登録","Phase2","未申請","","","","","様子見",""
"14","ココナラ","B","スキルマーケット","A8.net / もしも","500〜1,000円","無料会員登録","Phase1","未申請","","","","","様子見",""
"15","シュフティ／主婦向け求人サービス","B","在宅求人","アクセストレード 他","500〜1,500円","無料登録","Phase2","未申請","","","","","様子見",""
"16","在宅求人サイト（※内容を要確認）","B","在宅求人","アクセストレード / afb","1,000〜3,000円","無料登録","保留","未申請","","","","","様子見",""
"17","女性向け転職・派遣登録サービス","B","転職・派遣","アクセストレード / A8.net","1,000〜5,000円","無料登録・面談","保留","未申請","","","","","様子見",""
"18","Canva Pro","C","AIツール","バリューコマース / A8.net","1,000〜3,000円","有料プラン登録","Phase2","未申請","","","","","様子見",""
"19","Adobe Creative Cloud / Express","C","AIツール","バリューコマース / リンクシェア","3,000〜10,000円","購入","保留","未申請","","","","","様子見",""
"20","AI文字起こしツール（Notta 等）","C","AIツール","A8.net","1,000〜5,000円","有料プラン登録","保留","未申請","","","","","様子見",""
"21","AIライティングツール（Catchy / Transcope 等）","C","AIツール","A8.net / afb","1,000〜10,000円","有料プラン登録","Phase2","未申請","","","","","様子見",""
"22","AI動画編集ツール（Vrew 等）","C","AIツール","直 / A8.net","要確認","有料プラン登録","保留","未申請","","","","","様子見",""
"23","Notion","C","AIツール","公式アフィリエイト","要確認","有料プラン登録","保留","未申請","","","","","様子見",""
"24","ConoHa WING","D","発信インフラ","A8.net / もしも","3,000〜10,000円","有料契約","Phase1","未申請","","","","","様子見",""
"25","エックスサーバー","D","発信インフラ","A8.net / afb","3,000〜10,000円","有料契約","Phase2","未申請","","","","","様子見",""
"26","WordPressテーマ SWELL","D","発信インフラ","インフォトップ 等","2,000〜3,000円","購入","Phase2","未申請","","","","","様子見",""
"27","ラッコキーワード／ラッコドメイン","D","発信インフラ","A8.net / もしも","要確認","有料プラン・購入","保留","未申請","","","","","様子見",""
"28","配信ツール（UTAGE 等）","D","発信インフラ","直 / インフォトップ","5,000〜30,000円","契約","保留","未申請","","","","","様子見",""
"29","証券口座開設（新NISA）","E","お金","アクセストレード / A8.net / バリューコマース","3,000〜10,000円","口座開設・入金","Phase3","未申請","","","","","様子見",""
"30","家計簿アプリ（マネーフォワードME 等）","E","お金","A8.net / もしも","500〜3,000円","有料プラン登録","Phase2","未申請","","","","","様子見",""
