"案","名称","難易度","想定CVR","使う場所","推奨フェーズ","試した日","結果","採用"
"案1","プロフィール一点集中型","★","中","Threads本文","Phase2","","","未検証"
"案2","コメント欄配布型","★","高","Threads","Phase1後半","","","未検証"
"案3","リプライツリー型","★","中","Threads","Phase1","","","未検証"
"案4","公式LINEステップ配信型","★★★","最高","LINE","Phase3","","","未検証"
"案5","比較記事送客型","★★","高","Threads→ブログ","Phase2","","","未検証"
"案6","IGストーリーズ＋ハイライト型","★","中","Instagram","Phase2","","","未検証"
"案7","アンケート・質問箱起点型","★","高","IGストーリーズ","Phase1後半","","","未検証"
"案8","リール保存誘導→DM自動応答型","★★","高","Instagram","Phase1後半","","","未検証"
"案9","プロセス公開型（作業ログ）","★","中（長期信頼は最強）","Threads / IG","Phase1","","","未検証"
"案10","失敗談・逆張り型","★","中","Threads","Phase1","","","未検証"
"案11","期間限定・キャンペーン便乗型","★★","最高（瞬間風速）","全チャネル","Phase3","","","未検証"
"案12","Q&A回収型","★","高","全チャネル","Phase2","","","未検証"
